hour,temperature,demand
6,9.9,154.15
7,10.7,144.72
8,11.73,144.38
9,12.94,125.13
10,14.23,110.62
11,15.53,101.0
12,16.73,104.91
13,17.77,112.32
14,18.56,98.87
15,19.06,95.29
16,19.23,115.47
17,19.06,159.53
18,18.56,144.84
19,17.77,153.76
20,16.73,183.9
21,15.53,172.92
22,14.23,174.52
23,12.94,118.66
0,7.65,102.13
1,6.62,102.89
2,5.82,104.77
3,5.32,87.97
4,5.15,101.83
5,5.32,91.19
6,5.82,154.71
7,6.62,156.19
8,7.65,150.2
9,8.86,145.82
10,10.15,118.49
11,11.44,115.01
12,12.65,124.12
13,13.69,116.92
14,14.48,103.78
15,14.98,111.0
16,15.15,108.44
17,14.98,175.05
18,14.48,164.62
19,13.69,174.56
20,12.65,182.72
21,11.44,181.62
22,10.15,194.55
23,8.86,116.74
0,13.76,78.44
1,12.73,76.52
2,11.93,76.59
3,11.43,80.86
4,11.26,89.62
5,11.43,98.33
6,11.93,132.62
7,12.73,130.81
8,13.76,126.81
9,14.97,134.4
10,16.26,103.28
11,17.56,119.01
12,18.76,111.7
13,19.8,109.16
14,20.59,117.08
15,21.09,106.04
16,21.26,104.41
17,21.09,179.56
18,20.59,181.26
19,19.8,182.03
20,18.76,162.2
21,17.56,166.21
22,16.26,167.25
23,14.97,101.54
0,9.75,86.47
1,8.71,93.3
2,7.91,88.0
3,7.42,91.84
4,7.25,113.46
5,7.42,93.9
6,7.91,155.59
7,8.71,151.33
8,9.75,138.17
9,10.95,142.99
10,12.25,103.92
11,13.54,117.4
12,14.75,116.55
13,15.78,106.61
14,16.58,96.58
15,17.07,113.66
16,17.25,98.8
17,17.07,169.18
18,16.58,144.99
19,15.78,182.76
20,14.75,180.76
21,13.54,182.81
22,12.25,180.68
23,10.95,124.02
0,4.52,98.08
1,3.48,123.36
2,2.69,121.78
3,2.19,97.89
4,2.02,111.43
5,2.19,114.98
6,2.69,173.13
7,3.48,176.44
8,4.52,154.16
9,5.72,164.55
10,7.02,134.56
11,8.31,134.0
12,9.52,129.55
13,10.55,131.77
14,11.35,119.29
15,11.85,116.38
16,12.02,124.72
17,11.85,155.31
18,11.35,193.95
19,10.55,185.56
20,9.52,177.82
21,8.31,187.86
22,7.02,194.95
23,5.72,138.3
0,21.96,70.28
1,20.92,72.87
2,20.13,63.39
3,19.63,89.13
4,19.46,87.74
5,19.63,87.64
6,20.13,131.86
7,20.92,143.35
8,21.96,114.8
9,23.17,141.12
10,24.46,100.05
11,25.75,110.49
12,26.96,107.21
13,27.99,124.83
14,28.79,135.72
15,29.29,130.75
16,29.46,136.64
17,29.29,196.77
18,28.79,180.88
19,27.99,180.8
20,26.96,185.28
21,25.75,153.73
22,24.46,180.98
23,23.17,115.61
0,5.05,100.52
1,4.02,93.26
2,3.22,97.08
3,2.72,124.81
4,2.55,119.81
5,2.72,107.58
6,3.22,165.28
7,4.02,152.39
8,5.05,148.58
9,6.26,153.22
10,7.55,126.25
11,8.85,117.88
12,10.05,119.82
13,11.09,112.03
14,11.88,116.0
15,12.38,118.07
16,12.55,116.67
17,12.38,161.04
18,11.88,173.58
19,11.09,166.76
20,10.05,188.93
21,8.85,179.03
22,7.55,203.25
23,6.26,141.95
0,28.37,94.05
1,27.33,103.19
2,26.54,89.21
3,26.04,77.89
4,25.87,70.39
5,26.04,83.5
6,26.54,134.31
7,27.33,144.65
8,28.37,145.14
9,29.57,150.8
10,30.87,147.84
11,32.16,141.8
12,33.37,147.19
13,34.4,163.3
14,35.2,157.2
15,35.7,169.4
16,35.87,158.0
17,35.7,210.74
18,35.2,232.75
19,34.4,229.85
20,33.37,211.4
21,32.16,208.33
22,30.87,193.87
23,29.57,133.6
0,26.38,67.32
1,25.34,71.84
2,24.55,82.03
3,24.05,55.59
4,23.88,88.79
5,24.05,88.65
6,24.55,112.61
7,25.34,120.83
8,26.38,132.62
9,27.58,135.63
10,28.88,123.76
11,30.17,129.25
12,31.38,123.66
13,32.41,147.23
14,33.21,157.51
15,33.71,167.25
16,33.88,152.09
17,33.71,205.69
18,33.21,225.0
19,32.41,211.91
20,31.38,175.7
21,30.17,212.24
22,28.88,175.92
23,27.58,115.65
0,3.99,116.02
1,2.95,100.11
2,2.16,109.84
3,1.66,109.35
4,1.49,124.68
5,1.66,104.9
6,2.16,175.79
7,2.95,164.46
8,3.99,162.03
9,5.19,154.79
10,6.49,133.24
11,7.78,126.61
12,8.99,121.35
13,10.02,133.38
14,10.82,128.41
15,11.32,117.87
16,11.49,119.72
17,11.32,184.92
18,10.82,186.81
19,10.02,160.9
20,8.99,177.22
21,7.78,190.43
22,6.49,201.26
23,5.19,137.57
0,4.35,96.33
1,3.32,93.82
2,2.52,126.9
3,2.02,91.37
4,1.85,119.6
5,2.02,125.43
6,2.52,164.24
7,3.32,171.83
8,4.35,175.31
9,5.56,148.22
10,6.85,124.65
11,8.15,121.72
12,9.35,131.16
13,10.39,118.95
14,11.18,106.2
15,11.68,118.55
16,11.85,120.5
17,11.68,170.8
18,11.18,186.15
19,10.39,189.46
20,9.35,187.6
21,8.15,183.98
22,6.85,183.63
23,5.56,137.44
0,16.42,64.31
1,15.38,78.77
2,14.59,64.32
3,14.09,76.23
4,13.92,59.7
5,14.09,93.79
6,14.59,137.28
7,15.38,129.2
8,16.42,121.65
9,17.63,127.65
10,18.92,96.32
11,20.21,111.93
12,21.42,107.54
13,22.45,109.33
14,23.25,111.03
15,23.75,102.33
16,23.92,102.79
17,23.75,160.21
18,23.25,172.45
19,22.45,167.75
20,21.42,170.75
21,20.21,147.92
22,18.92,179.66
23,17.63,110.28
0,16.77,74.5
1,15.73,84.22
2,14.94,75.34
3,14.44,75.07
4,14.27,68.74
5,14.44,82.32
6,14.94,125.3
7,15.73,117.81
8,16.77,138.8
9,17.97,133.46
10,19.27,102.39
11,20.56,102.28
12,21.77,107.36
13,22.8,106.95
14,23.6,104.31
15,24.1,98.96
16,24.27,98.72
17,24.1,166.68
18,23.6,173.07
19,22.8,172.36
20,21.77,163.11
21,20.56,178.48
22,19.27,166.73
23,17.97,104.96
0,27.49,88.73
1,26.45,85.18
2,25.66,94.34
3,25.16,73.02
4,24.99,78.79
5,25.16,61.8
6,25.66,131.94
7,26.45,131.44
8,27.49,153.84
9,28.69,143.26
10,29.99,142.66
11,31.28,142.76
12,32.49,153.72
13,33.52,144.46
14,34.32,144.62
15,34.82,162.71
16,34.99,164.98
17,34.82,228.56
18,34.32,199.57
19,33.52,196.25
20,32.49,205.37
21,31.28,193.29
22,29.99,176.28
23,28.69,130.81
0,30.29,92.16
1,29.26,90.87
2,28.46,96.1
3,27.96,93.77
4,27.79,87.5
5,27.96,86.78
6,28.46,155.61
7,29.26,149.58
8,30.29,159.62
9,31.5,169.38
10,32.79,151.41
11,34.09,158.68
12,35.29,170.02
13,36.33,162.89
14,37.12,165.21
15,37.62,172.57
16,37.79,170.1
17,37.62,237.14
18,37.12,237.81
19,36.33,219.07
20,35.29,208.89
21,34.09,211.62
22,32.79,194.08
23,31.5,144.13
0,8.3,101.95
1,7.27,108.44
2,6.47,92.15
3,5.97,87.15
4,5.8,110.34
5,5.97,116.68
6,6.47,155.93
7,7.27,146.93
8,8.3,151.63
9,9.51,155.29
10,10.8,117.96
11,12.1,122.95
12,13.3,116.68
13,14.34,102.15
14,15.13,96.99
15,15.63,104.54
16,15.8,117.4
17,15.63,169.4
18,15.13,176.7
19,14.34,155.95
20,13.3,178.79
21,12.1,183.48
22,10.8,188.53
23,9.51,129.69
0,15.37,64.6
1,14.34,86.37
2,13.54,78.23
3,13.04,75.91
4,12.87,69.6
5,13.04,86.42
6,13.54,121.04
7,14.34,137.81
8,15.37,136.49
9,16.58,110.14
10,17.87,95.87
11,19.17,117.78
12,20.37,107.66
13,21.41,108.2
14,22.2,101.68
15,22.7,113.15
16,22.87,99.16
17,22.7,182.81
18,22.2,164.4
19,21.41,155.13
20,20.37,168.78
21,19.17,175.26
22,17.87,172.13
23,16.58,105.18
0,2.53,108.82
1,1.5,113.83
2,0.7,126.52
3,0.2,114.86
4,0.03,111.38
5,0.2,117.89
6,0.7,175.58
7,1.5,161.89
8,2.53,165.16
9,3.74,150.25
10,5.03,141.05
11,6.33,141.12
12,7.53,137.72
13,8.57,117.18
14,9.36,119.1
15,9.86,113.77
16,10.03,117.4
17,9.86,182.74
18,9.36,190.31
19,8.57,183.54
20,7.53,190.51
21,6.33,191.18
22,5.03,179.31
23,3.74,144.09
0,23.3,83.68
1,22.27,76.81
2,21.47,76.0
3,20.97,63.02
4,20.8,78.97
5,20.97,80.42
6,21.47,123.66
7,22.27,126.8
8,23.3,131.81
9,24.51,126.37
10,25.8,113.44
11,27.1,114.53
12,28.3,120.18
13,29.34,132.65
14,30.13,145.38
15,30.63,139.32
16,30.8,134.7
17,30.63,201.28
18,30.13,198.45
19,29.34,173.27
20,28.3,172.51
21,27.1,187.95
22,25.8,164.87
23,24.51,114.14
0,30.54,99.1
1,29.51,108.97
2,28.71,90.84
3,28.21,90.37
4,28.04,71.26
5,28.21,86.26
6,28.71,141.65
7,29.51,157.33
8,30.54,173.64
9,31.75,154.45
10,33.04,157.3
11,34.34,168.22
12,35.54,172.47
13,36.58,169.69
14,37.37,169.9
15,37.87,174.86
16,38.04,169.97
17,37.87,225.93
18,37.37,239.6
19,36.58,232.26
20,35.54,219.27
21,34.34,210.68
22,33.04,210.18
23,31.75,145.58
0,6.8,98.99
1,5.77,83.18
2,4.97,120.79
3,4.47,123.88
4,4.3,105.85
5,4.47,114.41
6,4.97,166.72
7,5.77,149.69
8,6.8,164.27
9,8.01,139.92
10,9.3,130.01
11,10.6,135.58
12,11.8,120.47
13,12.84,111.06
14,13.63,111.01
15,14.13,110.86
16,14.3,109.16
17,14.13,163.22
18,13.63,157.68
19,12.84,176.21
20,11.8,171.44
21,10.6,194.91
22,9.3,188.36
23,8.01,133.91
0,31.24,103.82
1,30.2,109.91
2,29.41,108.4
3,28.91,99.97
4,28.74,84.4
5,28.91,95.93
6,29.41,144.93
7,30.2,153.61
8,31.24,156.77
9,32.44,158.12
10,33.74,152.81
11,35.03,163.71
12,36.24,163.37
13,37.27,172.32
14,38.07,187.78
15,38.57,175.7
16,38.74,187.55
17,38.57,228.97
18,38.07,247.82
19,37.27,223.93
20,36.24,208.72
21,35.03,216.52
22,33.74,229.34
23,32.44,143.74
0,13.96,85.52
1,12.93,85.47
2,12.13,81.48
3,11.63,79.84
4,11.46,83.57
5,11.63,82.88
6,12.13,134.83
7,12.93,128.73
8,13.96,141.62
9,15.17,139.18
10,16.46,112.92
11,17.76,103.47
12,18.96,111.96
13,20.0,103.63
14,20.79,107.6
15,21.29,102.41
16,21.46,118.09
17,21.29,158.22
18,20.79,169.52
19,20.0,178.37
20,18.96,147.81
21,17.76,164.6
22,16.46,168.97
23,15.17,102.48
0,6.56,100.59
1,5.52,91.78
2,4.73,126.14
3,4.23,100.99
4,4.06,111.1
5,4.23,100.92
6,4.73,166.9
7,5.52,153.05
8,6.56,155.56
9,7.76,149.87
10,9.06,124.82
11,10.35,134.79
12,11.56,120.05
13,12.59,121.43
14,13.39,117.81
15,13.89,103.68
16,14.06,107.14
17,13.89,160.77
18,13.39,177.2
19,12.59,183.67
20,11.56,161.11
21,10.35,182.41
22,9.06,187.24
23,7.76,122.61
0,8.39,81.66
1,7.35,115.03
2,6.56,101.74
3,6.06,115.88
4,5.89,108.37
5,6.06,96.32
6,6.56,145.22
7,7.35,148.71
8,8.39,161.2
9,9.59,131.73
10,10.89,114.01
11,12.18,105.19
12,13.39,115.28
13,14.42,99.95
14,15.22,115.08
15,15.72,117.01
16,15.89,111.82
17,15.72,162.49
18,15.22,165.51
19,14.42,183.16
20,13.39,157.99
21,12.18,165.0
22,10.89,179.2
23,9.59,119.81
0,25.24,80.09
1,24.21,57.83
2,23.41,92.1
3,22.91,70.04
4,22.74,87.26
5,22.91,94.24
6,23.41,129.78
7,24.21,130.48
8,25.24,132.94
9,26.45,126.9
10,27.74,127.94
11,29.04,129.5
12,30.24,130.74
13,31.28,143.08
14,32.07,159.24
15,32.57,151.63
16,32.74,147.73
17,32.57,187.73
18,32.07,202.02
19,31.28,191.76
20,30.24,201.2
21,29.04,201.54
22,27.74,187.97
23,26.45,120.43
0,30.85,112.69
1,29.82,95.42
2,29.02,95.63
3,28.52,99.8
4,28.35,110.24
5,28.52,95.63
6,29.02,157.64
7,29.82,165.35
8,30.85,159.96
9,32.06,176.73
10,33.35,149.39
11,34.64,154.22
12,35.85,176.4
13,36.89,170.71
14,37.68,173.16
15,38.18,181.48
16,38.35,196.66
17,38.18,237.64
18,37.68,247.27
19,36.89,222.73
20,35.85,240.94
21,34.64,219.22
22,33.35,219.45
23,32.06,146.59
0,29.09,84.28
1,28.06,96.69
2,27.26,85.54
3,26.76,77.84
4,26.59,73.05
5,26.76,97.64
6,27.26,132.98
7,28.06,140.95
8,29.09,151.39
9,30.3,164.53
10,31.59,139.4
11,32.89,149.49
12,34.09,163.23
13,35.13,156.72
14,35.92,167.4
15,36.42,178.82
16,36.59,168.02
17,36.42,230.7
18,35.92,227.94
19,35.13,233.42
20,34.09,203.31
21,32.89,191.33
22,31.59,216.1
23,30.3,135.05
0,6.11,90.3
1,5.08,103.53
2,4.28,84.85
3,3.78,105.79
4,3.61,109.88
5,3.78,96.37
6,4.28,178.31
7,5.08,154.36
8,6.11,156.07
9,7.32,170.49
10,8.61,133.54
11,9.91,122.42
12,11.11,122.41
13,12.15,120.75
14,12.94,116.18
15,13.44,111.3
16,13.61,113.54
17,13.44,162.03
18,12.94,177.09
19,12.15,156.81
20,11.11,158.43
21,9.91,180.16
22,8.61,170.1
23,7.32,124.22
0,31.1,90.09
1,30.07,92.19
2,29.27,86.5
3,28.77,101.24
4,28.6,85.95
5,28.77,94.75
6,29.27,144.04
7,30.07,166.05
8,31.1,161.68
9,32.31,179.23
10,33.6,157.75
11,34.9,154.31
12,36.1,171.38
13,37.14,157.99
14,37.93,178.93
15,38.43,176.93
16,38.6,190.71
17,38.43,235.05
18,37.93,236.44
19,37.14,225.45
20,36.1,211.59
21,34.9,207.78
22,33.6,205.47
23,32.31,141.64
0,25.41,65.27
1,24.37,84.17
2,23.58,64.4
3,23.08,66.82
4,22.91,94.05
5,23.08,64.48
6,23.58,131.88
7,24.37,120.0
8,25.41,131.39
9,26.61,138.4
10,27.91,114.89
11,29.2,124.05
12,30.41,147.42
13,31.44,145.0
14,32.24,151.41
15,32.74,147.39
16,32.91,152.66
17,32.74,187.77
18,32.24,208.67
19,31.44,202.96
20,30.41,183.33
21,29.2,176.54
22,27.91,174.88
23,26.61,109.63
0,11.73,100.9
1,10.69,85.28
2,9.9,109.56
3,9.4,94.73
4,9.23,81.06
5,9.4,90.94
6,9.9,152.4
7,10.69,146.99
8,11.73,140.56
9,12.94,122.38
10,14.23,112.75
11,15.52,109.07
12,16.73,111.54
13,17.77,90.78
14,18.56,121.21
15,19.06,114.17
16,19.23,110.88
17,19.06,159.8
18,18.56,174.62
19,17.77,175.11
20,16.73,172.49
21,15.52,157.01
22,14.23,161.59
23,12.94,127.13
0,13.21,87.34
1,12.17,81.17
2,11.38,82.03
3,10.88,82.61
4,10.71,78.92
5,10.88,89.36
6,11.38,158.1
7,12.17,134.64
8,13.21,132.99
9,14.42,120.09
10,15.71,105.39
11,17.0,110.57
12,18.21,105.65
13,19.25,118.61
14,20.04,111.85
15,20.54,107.07
16,20.71,107.98
17,20.54,170.61
18,20.04,164.93
19,19.25,163.68
20,18.21,162.89
21,17.0,157.6
22,15.71,165.49
23,14.42,105.61
0,21.56,69.05
1,20.52,76.35
2,19.73,82.95
3,19.23,81.16
4,19.06,79.46
5,19.23,62.55
6,19.73,132.69
7,20.52,127.13
8,21.56,125.54
9,22.77,129.33
10,24.06,109.64
11,25.35,111.44
12,26.56,117.04
13,27.6,130.85
14,28.39,115.7
15,28.89,130.96
16,29.06,122.68
17,28.89,176.47
18,28.39,177.93
19,27.6,182.24
20,26.56,178.08
21,25.35,178.65
22,24.06,170.99
23,22.77,96.26
0,16.74,78.31
1,15.71,76.35
2,14.91,62.91
3,14.41,82.55
4,14.24,55.85
5,14.41,60.86
6,14.91,119.94
7,15.71,127.07
8,16.74,125.17
9,17.95,121.72
10,19.24,100.4
11,20.54,109.76
12,21.74,101.35
13,22.78,106.3
14,23.57,99.4
15,24.07,108.65
16,24.24,97.69
17,24.07,171.7
18,23.57,186.98
19,22.78,162.57
20,21.74,163.17
21,20.54,158.54
22,19.24,161.04
23,17.95,99.74
0,17.07,92.02
1,16.03,78.51
2,15.24,71.26
3,14.74,81.95
4,14.57,71.13
5,14.74,55.01
6,15.24,134.28
7,16.03,126.07
8,17.07,129.13
9,18.27,144.73
10,19.57,110.98
11,20.86,106.01
12,22.07,108.46
13,23.1,110.15
14,23.9,101.94
15,24.4,111.49
16,24.57,108.78
17,24.4,162.83
18,23.9,152.99
19,23.1,171.26
20,22.07,160.95
21,20.86,151.28
22,19.57,163.77
23,18.27,101.63
0,18.65,93.09
1,17.62,62.07
2,16.82,82.57
3,16.32,95.25
4,16.15,74.44
5,16.32,77.8
6,16.82,141.57
7,17.62,131.82
8,18.65,113.77
9,19.86,122.2
10,21.15,121.5
11,22.44,119.08
12,23.65,104.19
13,24.69,119.83
14,25.48,111.09
15,25.98,107.41
16,26.15,123.6
17,25.98,160.38
18,25.48,153.19
19,24.69,145.59
20,23.65,157.61
21,22.44,166.81
22,21.15,178.07
23,19.86,104.49
0,15.08,81.71
1,14.04,49.98
2,13.25,84.59
3,12.75,78.29
4,12.58,96.96
5,12.75,80.48
6,13.25,146.29
7,14.04,142.0
8,15.08,117.35
9,16.29,136.76
10,17.58,106.63
11,18.87,108.07
12,20.08,105.01
13,21.12,113.99
14,21.91,99.06
15,22.41,107.6
16,22.58,108.11
17,22.41,150.85
18,21.91,158.17
19,21.12,164.37
20,20.08,157.28
21,18.87,159.42
22,17.58,173.0
23,16.29,113.06
0,16.31,82.68
1,15.28,65.91
2,14.48,64.69
3,13.98,78.89
4,13.81,79.66
5,13.98,86.25
6,14.48,123.75
7,15.28,129.97
8,16.31,118.78
9,17.52,135.27
10,18.81,118.9
11,20.1,106.08
12,21.31,99.39
13,22.35,107.04
14,23.14,115.6
15,23.64,98.79
16,23.81,104.74
17,23.64,149.35
18,23.14,157.11
19,22.35,143.49
20,21.31,158.21
21,20.1,176.31
22,18.81,182.33
23,17.52,104.35
0,2.69,119.66
1,1.65,107.9
2,0.86,121.39
3,0.36,138.31
4,0.19,123.01
5,0.36,127.5
6,0.86,178.37
7,1.65,164.39
8,2.69,168.57
9,3.89,182.79
10,5.19,145.05
11,6.48,125.07
12,7.69,123.46
13,8.72,121.01
14,9.52,125.49
15,10.02,126.92
16,10.19,122.8
17,10.02,176.48
18,9.52,159.76
19,8.72,200.8
20,7.69,194.36
21,6.48,194.05
22,5.19,197.2
23,3.89,139.01
0,14.33,91.81
1,13.3,92.64
2,12.5,82.24
3,12.0,79.64
4,11.83,77.04
5,12.0,76.97
6,12.5,123.69
7,13.3,128.44
8,14.33,127.85
9,15.54,130.71
10,16.83,114.45
11,18.13,113.98
12,19.33,99.04
13,20.37,109.87
14,21.16,113.64
15,21.66,98.3
16,21.83,105.24
17,21.66,152.97
18,21.16,184.63
19,20.37,158.71
20,19.33,148.85
21,18.13,152.44
22,16.83,157.46
23,15.54,109.02
0,14.23,85.93
1,13.19,76.14
2,12.4,91.65
3,11.9,80.62
4,11.73,88.45
5,11.9,89.51
6,12.4,119.4
7,13.19,134.71
8,14.23,142.33
9,15.43,122.93
10,16.73,111.35
11,18.02,120.29
12,19.23,108.8
13,20.26,121.75
14,21.06,104.46
15,21.56,111.9
16,21.73,111.42
17,21.56,167.65
18,21.06,168.7
19,20.26,162.93
20,19.23,147.16
21,18.02,155.04
22,16.73,159.36
23,15.43,102.73
0,6.5,115.36
1,5.46,95.38
2,4.67,117.23
3,4.17,99.31
4,4.0,113.7
5,4.17,117.86
6,4.67,157.53
7,5.46,161.55
8,6.5,138.42
9,7.7,150.07
10,9.0,124.98
11,10.29,119.8
12,11.5,100.21
13,12.53,119.21
14,13.33,115.54
15,13.83,113.79
16,14.0,101.1
17,13.83,159.3
18,13.33,167.29
19,12.53,185.37
20,11.5,183.44
21,10.29,169.71
22,9.0,182.67
23,7.7,131.03
0,3.24,120.0
1,2.2,130.18
2,1.41,136.69
3,0.91,112.73
4,0.74,119.58
5,0.91,112.78
6,1.41,175.44
7,2.2,168.73
8,3.24,167.7
9,4.45,164.21
10,5.74,128.72
11,7.03,138.71
12,8.24,114.73
13,9.27,125.74
14,10.07,119.77
15,10.57,122.63
16,10.74,113.05
17,10.57,181.77
18,10.07,190.25
19,9.27,185.79
20,8.24,177.57
21,7.03,183.89
22,5.74,191.98
23,4.45,126.66
0,5.56,118.42
1,4.52,96.3
2,3.73,109.45
3,3.23,107.91
4,3.06,100.98
5,3.23,108.4
6,3.73,163.33
7,4.52,153.27
8,5.56,155.65
9,6.76,152.69
10,8.06,118.32
11,9.35,120.66
12,10.56,130.3
13,11.59,130.6
14,12.39,115.07
15,12.89,102.45
16,13.06,112.03
17,12.89,187.31
18,12.39,178.31
19,11.59,185.19
20,10.56,191.0
21,9.35,171.21
22,8.06,190.95
23,6.76,138.1
0,11.92,98.36
1,10.89,75.02
2,10.09,93.41
3,9.6,87.78
4,9.42,101.87
5,9.6,97.12
6,10.09,138.55
7,10.89,138.84
8,11.92,150.23
9,13.13,134.49
10,14.42,109.59
11,15.72,104.16
12,16.92,108.76
13,17.96,94.01
14,18.75,116.22
15,19.25,100.08
16,19.42,109.6
17,19.25,180.82
18,18.75,165.66
19,17.96,156.16
20,16.92,159.58
21,15.72,152.47
22,14.42,149.92
23,13.13,109.78
0,7.51,107.76
1,6.47,110.64
2,5.68,109.99
3,5.18,114.06
4,5.01,97.7
5,5.18,113.45
6,5.68,161.87
7,6.47,154.68
8,7.51,165.8
9,8.71,137.82
10,10.01,125.6
11,11.3,124.39
12,12.51,104.83
13,13.54,112.82
14,14.34,117.89
15,14.84,107.21
16,15.01,103.06
17,14.84,168.33
18,14.34,177.99
19,13.54,150.39
20,12.51,163.72
21,11.3,187.59
22,10.01,166.68
23,8.71,136.4
0,5.72,87.12
1,4.69,117.7
2,3.89,119.87
3,3.39,110.49
4,3.22,124.32
5,3.39,122.97
6,3.89,153.5
7,4.69,148.69
8,5.72,151.02
9,6.93,151.81
10,8.22,125.6
11,9.52,123.21
12,10.72,113.63
13,11.76,109.71
14,12.55,112.77
15,13.05,113.98
16,13.22,126.85
17,13.05,175.49
18,12.55,169.38
19,11.76,154.95
20,10.72,174.39
21,9.52,180.73
22,8.22,201.69
23,6.93,131.57
0,29.1,103.04
1,28.06,95.92
2,27.27,75.08
3,26.77,78.52
4,26.6,91.21
5,26.77,64.5
6,27.27,158.88
7,28.06,137.16
8,29.1,142.99
9,30.3,156.73
10,31.6,143.98
11,32.89,153.65
12,34.1,152.24
13,35.13,171.79
14,35.93,165.59
15,36.43,168.61
16,36.6,168.51
17,36.43,236.17
18,35.93,226.79
19,35.13,197.29
20,34.1,208.76
21,32.89,196.22
22,31.6,212.66
23,30.3,146.9
0,20.09,73.97
1,19.05,60.5
2,18.26,89.28
3,17.76,75.32
4,17.59,73.57
5,17.76,71.9
6,18.26,117.43
7,19.05,146.1
8,20.09,122.79
9,21.29,132.74
10,22.59,113.45
11,23.88,88.15
12,25.09,109.07
13,26.12,119.75
14,26.92,105.9
15,27.42,127.71
16,27.59,131.04
17,27.42,197.89
18,26.92,157.03
19,26.12,181.87
20,25.09,166.65
21,23.88,162.01
22,22.59,153.91
23,21.29,95.49
0,3.09,121.7
1,2.05,110.21
2,1.26,106.19
3,0.76,109.75
4,0.59,110.57
5,0.76,110.43
6,1.26,168.71
7,2.05,167.01
8,3.09,174.84
9,4.3,159.6
10,5.59,144.59
11,6.88,137.77
12,8.09,119.0
13,9.13,132.66
14,9.92,128.4
15,10.42,114.3
16,10.59,127.42
17,10.42,189.02
18,9.92,169.36
19,9.13,188.16
20,8.09,195.54
21,6.88,186.62
22,5.59,194.25
23,4.3,137.22
0,25.45,79.09
1,24.42,60.36
2,23.62,80.75
3,23.12,90.66
4,22.95,76.52
5,23.12,64.34
6,23.62,120.58
7,24.42,135.71
8,25.45,135.14
9,26.66,141.06
10,27.95,125.44
11,29.25,123.45
12,30.45,142.05
13,31.49,136.98
14,32.28,155.2
15,32.78,140.02
16,32.95,155.76
17,32.78,201.74
18,32.28,205.38
19,31.49,204.26
20,30.45,189.98
21,29.25,201.58
22,27.95,181.91
23,26.66,118.22
0,27.95,85.52
1,26.91,80.03
2,26.12,82.64
3,25.62,73.26
4,25.45,83.29
5,25.62,74.73
6,26.12,131.49
7,26.91,147.49
8,27.95,141.55
9,29.15,142.66
10,30.45,132.91
11,31.74,135.6
12,32.95,151.59
13,33.98,154.77
14,34.78,156.33
15,35.28,159.93
16,35.45,167.68
17,35.28,214.58
18,34.78,223.98
19,33.98,196.95
20,32.95,220.82
21,31.74,196.41
22,30.45,204.77
23,29.15,123.34
0,7.86,99.63
1,6.82,99.89
2,6.03,100.05
3,5.53,124.51
4,5.36,94.99
5,5.53,92.56
6,6.03,147.25
7,6.82,157.99
8,7.86,140.28
9,9.06,145.7
10,10.36,121.04
11,11.65,119.64
12,12.86,115.21
13,13.89,115.77
14,14.69,104.05
15,15.19,104.49
16,15.36,119.37
17,15.19,177.21
18,14.69,165.15
19,13.89,155.5
20,12.86,158.67
21,11.65,187.21
22,10.36,163.34
23,9.06,119.26
0,10.14,90.2
1,9.1,79.18
2,8.31,85.07
3,7.81,80.59
4,7.64,122.56
5,7.81,105.22
6,8.31,140.45
7,9.1,144.48
8,10.14,135.38
9,11.35,138.51
10,12.64,114.23
11,13.93,121.81
12,15.14,109.8
13,16.18,106.03
14,16.97,108.77
15,17.47,121.85
16,17.64,105.64
17,17.47,155.97
18,16.97,146.22
19,16.18,161.98
20,15.14,163.88
21,13.93,160.82
22,12.64,162.94
23,11.35,121.07
0,23.72,61.65
1,22.68,77.47
2,21.89,70.3
3,21.39,78.04
4,21.22,74.52
5,21.39,79.64
6,21.89,137.34
7,22.68,139.71
8,23.72,138.89
9,24.92,130.32
10,26.22,112.36
11,27.51,127.59
12,28.72,130.87
13,29.75,124.46
14,30.55,135.32
15,31.05,140.27
16,31.22,148.33
17,31.05,192.08
18,30.55,183.2
19,29.75,206.32
20,28.72,197.66
21,27.51,166.74
22,26.22,158.82
23,24.92,120.34
0,4.47,116.82
1,3.43,107.57
2,2.64,106.09
3,2.14,125.56
4,1.97,119.92
5,2.14,109.66
6,2.64,167.48
7,3.43,179.33
8,4.47,159.04
9,5.67,161.86
10,6.97,125.61
11,8.26,129.9
12,9.47,119.79
13,10.5,128.03
14,11.3,117.73
15,11.8,104.82
16,11.97,121.5
17,11.8,171.04
18,11.3,170.84
19,10.5,176.25
20,9.47,197.42
21,8.26,197.82
22,6.97,175.94
23,5.67,148.12
0,13.28,63.21
1,12.25,57.82
2,11.45,73.33
3,10.95,96.31
4,10.78,76.41
5,10.95,80.45
6,11.45,134.95
7,12.25,137.01
8,13.28,136.61
9,14.49,129.13
10,15.78,104.39
11,17.08,112.07
12,18.28,97.33
13,19.32,108.65
14,20.11,114.03
15,20.61,109.34
16,20.78,111.8
17,20.61,164.92
18,20.11,144.85
19,19.32,159.09
20,18.28,160.77
21,17.08,168.6
22,15.78,172.46
23,14.49,114.27
0,8.78,83.5
1,7.74,113.49
2,6.95,114.42
3,6.45,98.45
4,6.28,104.48
5,6.45,98.93
6,6.95,161.5
7,7.74,135.07
8,8.78,151.07
9,9.99,160.21
10,11.28,104.95
11,12.57,113.78
12,13.78,120.16
